id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Crowd-pleaser dinner for 4 that includes 2 adults and 2 picky-eater kids.
5,Fun twist on classic Italian pasta dish
6,Healthy snack food
7,Hearty fall seasonal soup dinner
8,Healthy lunch that takes less than 15 minutes to prepare
9,Easy dinner that takes less than 30 minutes to prepare
10,Easy dinner dish that isn't pizza or pasta
11,Easy dinner that uses sweet potatoes
12,Delicious dessert cookie cake
